name,district,bedroomNum,livingroomNum,bathroomNum,area,builtYear,direction,distance2SW,floorNum,type,price
八角北里,sjs,2,1,1,63.6,1987,ws,1700,6,low,3200000
金顶街四区,sjs,2,1,1,72,1999,sn,875,6,low,3950000
八角北里,sjs,2,1,1,63.6,1987,ws,1700,6,low,3200000
远洋山水(北区),sjs,2,2,2,122.8,2008,s,1000,26,low,7920000
新怡家园,dc,4,2,2,190.9,2004,sn,1300,11,low,27600000
远洋天地,cy,4,3,3,208.3,2000,sn,658,11,low,14500000
远洋天地,cy,4,3,3,208.3,2000,sn,658,11,low,14500000
颐源居,hd,3,2,2,142.1,2000,es,1500,27,low,13300000
颐源居,hd,3,2,2,142.1,2000,es,1500,27,low,13300000
西钓鱼台嘉园,hd,3,2,2,150,2006,sn,1800,26,low,16000000
远洋山水(北区),sjs,3,2,2,133,2008,ws,1000,26,low,9150000
依翠园,sjs,2,1,1,74.5,2004,e,1200,16,low,3850000
远洋山水(北区),sjs,3,2,2,134.3,2008,sn,1000,26,low,9800000
颐源居,hd,3,2,2,143,2006,en,1500,27,low,13300000
双锦园小区,sjs,2,1,1,73.5,2000,sn,1400,12,mid,3690000
中海枫丹公馆,cy,5,3,5,451.3,2016,sn,971,14,low,36500000
今日家园,hd,2,1,1,97.1,2000,e,1300,17,low,7470000
今日家园,hd,2,1,1,97.1,2000,e,1300,17,low,7470000
远洋山水(北区),sjs,1,1,1,56.7,2008,sn,1000,26,high,3990000
紫金长安,hd,1,1,1,73.6,2007,sn,1400,19,low,9900000
梵悦108,cy,1,1,1,106,2016,sn,686,25,low,11880000
远洋山水(北区),sjs,1,0,1,48,2008,e,1000,26,mid,3300000
远洋天地,cy,1,1,1,83.4,2004,w,658,26,high,6300000
紫金长安,hd,2,1,1,104.6,2005,e,1400,19,low,13300000
远洋天地,cy,2,2,2,116.3,2002,ws,658,30,low,7650000
远洋天地,cy,1,2,1,80.8,2004,en,658,24,mid,5700000
华远北街小区,xc,3,1,1,82.7,2001,ew,1100,17,high,12500000
远洋山水(南区),sjs,2,1,1,64,2008,w,1400,26,mid,4300000
远洋山水(南区),sjs,2,1,2,104.6,2008,ws,1400,24,high,6850000
远洋山水(南区),sjs,2,2,1,105.1,2008,e,1400,27,mid,6480000
远洋山水(南区),sjs,2,2,1,118.3,2008,s,1400,26,high,7000000
富力城(A区),cy,2,1,1,80.7,2004,n,1900,30,low,8800000
今日家园,hd,2,1,1,86,2000,en,1300,18,low,7000000
新世界中心公寓,dc,1,1,1,76,1999,e,1200,16,high,5180000
远洋天地,cy,4,2,3,164.4,2000,sn,658,11,high,14000000
复兴门外大街20号小区,xc,2,1,1,66.5,1984,e,210,10,high,8280000
紫金长安,hd,4,2,3,200.5,2005,sn,1400,15,low,25500000
紫金长安,hd,4,2,3,200.5,2005,sn,1400,15,low,25500000
长安6号小区,cy,1,1,1,73.4,2010,n,1000,20,mid,4200000
长安6号小区,cy,1,1,1,106,2005,s,1000,28,mid,5000000
合生国际花园(东区),cy,1,1,1,69,2009,e,1400,18,high,7900000
长安太和,dc,3,2,2,217,2018,sn,808,15,high,26000000
紫金长安,hd,3,2,2,170.6,2007,sn,1400,16,high,21500000
紫金长安,hd,2,2,2,117,2007,ew,1400,19,low,14100000
紫金长安,hd,2,2,2,117,2007,ew,1400,19,low,14100000
西钓鱼台嘉园,hd,3,2,1,127,2006,sn,1800,17,high,12700000
长安太和,dc,3,2,2,220,2018,sn,808,15,high,21000000
老山东里(南区),sjs,3,1,1,64.9,1987,en,1200,16,high,3070000
西钓鱼台嘉园,hd,3,2,1,127,2006,sn,1800,17,high,12700000
今日家园,hd,2,1,1,100,2001,e,1300,24,mid,7800000
今日家园,hd,2,1,1,100,2001,e,1300,24,mid,7800000
今日家园,hd,2,1,1,100,2001,e,1300,24,mid,7800000
今日家园,hd,2,1,1,100,2001,e,1300,24,mid,7800000
合生国际花园(一期),cy,3,2,2,134.5,2008,s,1500,24,high,13490000
远洋天地,cy,3,2,2,136.3,2004,en,658,26,mid,8600000
远洋天地,cy,3,2,2,136.3,2004,en,658,26,mid,8600000
凯德锦绣,cy,3,2,2,135,2012,es,1600,28,high,10300000
远洋天地,cy,3,2,1,149.2,2004,ws,658,26,high,8600000
