name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
八角北里,石景山,2,1,1,63.6㎡,低层(共6层),1987年建造,西南,距1号线八角游乐园步行1.7km,320
金顶街四区,石景山,2,1,1,72㎡,低层(共6层),1999年建造,南北,距1号线苹果园步行875m,395
八角北里,石景山,2,1,1,63.6㎡,低层(共6层),1987年建造,西南,距1号线八角游乐园步行1.7km,320
远洋山水(北区),石景山,2,2,2,122.8㎡,低层(共26层),2008年建造,南,距1号线八宝山步行1km,792
新怡家园,东城,4,2,2,190.9㎡,低层(共11层),2004年建造,南北,距1号线王府井步行1.3km,2760
远洋天地,朝阳,4,3,3,208.3㎡,低层(共11层),2000年建造,南北,距1号线四惠步行658m,1450
远洋天地,朝阳,4,3,3,208.3㎡,低层(共11层),2000年建造,南北,距1号线四惠步行658m,1450
颐源居,海淀,3,2,2,142.1㎡,低层(共27层),2000年建造,东南,距1号线公主坟步行1.5km,1330
颐源居,海淀,3,2,2,142.1㎡,低层(共27层),2000年建造,东南,距1号线公主坟步行1.5km,1330
西钓鱼台嘉园,海淀,3,2,2,150㎡,低层(共26层),2006年建造,南北,距1号线万寿路步行1.8km,1600
远洋山水(北区),石景山,3,2,2,133㎡,低层(共26层),2008年建造,西南,距1号线八宝山步行1km,915
依翠园,石景山,2,1,1,74.5㎡,低层(共16层),2004年建造,东,距1号线八角游乐园步行1.2km,385
远洋山水(北区),石景山,3,2,2,134.3㎡,低层(共26层),2008年建造,南北,距1号线八宝山步行1km,980
颐源居,海淀,3,2,2,143㎡,低层(共27层),2006年建造,东北,距1号线公主坟步行1.5km,1330
双锦园小区,石景山,2,1,1,73.5㎡,中层(共12层),2000年建造,南北,距1号线八角游乐园步行1.4km,369
中海枫丹公馆,朝阳,5,3,5,451.3㎡,低层(共14层),2016年建造,南北,距1号线建国门步行971m,3650
今日家园,海淀,2,1,1,97.1㎡,低层(共17层),2000年建造,东,距1号线五棵松步行1.3km,747
今日家园,海淀,2,1,1,97.1㎡,低层(共17层),2000年建造,东,距1号线五棵松步行1.3km,747
远洋山水(北区),石景山,1,1,1,56.7㎡,高层(共26层),2008年建造,南北,距1号线八宝山步行1km,399
紫金长安,海淀,1,1,1,73.6㎡,低层(共19层),2007年建造,南北,距1号线五棵松步行1.4km,990
梵悦108,朝阳,1,1,1,106㎡,低层(共25层),2016年建造,南北,距1号线国贸步行686m,1188
远洋山水(北区),石景山,1,0,1,48㎡,中层(共26层),2008年建造,东,距1号线八宝山步行1km,330
远洋天地,朝阳,1,1,1,83.4㎡,高层(共26层),2004年建造,西,距1号线四惠步行658m,630
紫金长安,海淀,2,1,1,104.6㎡,低层(共19层),2005年建造,东,距1号线五棵松步行1.4km,1330
远洋天地,朝阳,2,2,2,116.3㎡,低层(共30层),2002年建造,西南,距1号线四惠步行658m,765
远洋天地,朝阳,1,2,1,80.8㎡,中层(共24层),2004年建造,东北,距1号线四惠步行658m,570
华远北街小区,西城,3,1,1,82.7㎡,高层(共17层),2001年建造,东西,距1号线西单步行1.1km,1250
远洋山水(南区),石景山,2,1,1,64㎡,中层(共26层),2008年建造,西,距1号线八宝山步行1.4km,430
远洋山水(南区),石景山,2,1,2,104.6㎡,高层(共24层),2008年建造,西南,距1号线八宝山步行1.4km,685
远洋山水(南区),石景山,2,2,1,105.1㎡,中层(共27层),2008年建造,东,距1号线八宝山步行1.4km,648
远洋山水(南区),石景山,2,2,1,118.3㎡,高层(共26层),2008年建造,南,距1号线八宝山步行1.4km,700
富力城(A区),朝阳,2,1,1,80.7㎡,低层(共30层),2004年建造,北,距1号线国贸步行1.9km,880
今日家园,海淀,2,1,1,86㎡,低层(共18层),2000年建造,东北,距1号线五棵松步行1.3km,700
新世界中心公寓,东城,1,1,1,76㎡,高层(共16层),1999年建造,东,距1号线东单步行1.2km,518
远洋天地,朝阳,4,2,3,164.4㎡,高层(共11层),2000年建造,南北,距1号线四惠步行658m,1400
复兴门外大街20号小区,西城,2,1,1,66.5㎡,高层(共10层),1984年建造,东,距1号线木樨地步行210m,828
紫金长安,海淀,4,2,3,200.5㎡,低层(共15层),2005年建造,南北,距1号线五棵松步行1.4km,2550
紫金长安,海淀,4,2,3,200.5㎡,低层(共15层),2005年建造,南北,距1号线五棵松步行1.4km,2550
长安6号小区,朝阳,1,1,1,73.4㎡,中层(共20层),2010年建造,北,距1号线永安里步行1km,420
长安6号小区,朝阳,1,1,1,106㎡,中层(共28层),2005年建造,南,距1号线永安里步行1km,500
合生国际花园(东区),朝阳,1,1,1,69㎡,高层(共18层),2009年建造,东,距1号线国贸步行1.4km,790
