name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
首创禧瑞都,朝阳,4,2,3,378.2㎡,中层(共26层),,南北,距14号线(东)金台路步行1.6km,6300
阳光上东,朝阳,2,2,2,129.1㎡,低层(共10层),2009年建造,东,距14号线(东)东风北桥步行1km,1250
海润国际公寓,朝阳,3,2,2,175.4㎡,低层(共28层),2003年建造,南北,距14号线(东)将台步行1km,1235
水碓子西里,朝阳,2,1,1,47.9㎡,低层(共6层),1981年建造,南,距14号线(东)金台路步行1km,335
卡布其诺,朝阳,2,2,1,80.3㎡,高层(共9层),2005年建造,南北,距14号线(东)将台步行1.7km,605
延静里小区,朝阳,2,1,1,54.1㎡,中层(共6层),1983年建造,南北,距14号线(东)金台路步行423m,345
首城国际,朝阳,2,1,1,90.9㎡,低层(共28层),2010年建造,南,距14号线(东)九龙山步行919m,940
望京花园东区,朝阳,2,1,1,91.3㎡,低层(共24层),2004年建造,西南,距14号线(东)东湖渠步行954m,620
利泽西园,朝阳,3,1,1,92.9㎡,中层(共7层),2000年建造,南北,距14号线(东)东湖渠步行444m,770
富力城(A区),朝阳,2,1,1,80.7㎡,低层(共30层),2004年建造,北,距14号线(东)九龙山步行1.8km,880
梵悦108,朝阳,1,2,1,97㎡,中层(共15层),2021年建造,南北,距14号线(东)大望路步行1km,1060
华威西里,朝阳,1,1,1,44.3㎡,高层(共6层),1994年建造,南北,距14号线(东)十里河步行1.2km,253
南湖东园(二区),朝阳,3,1,1,88.3㎡,中层(共14层),2002年建造,南北,距14号线(东)望京步行917m,710
富力城(A区),朝阳,2,2,1,86.5㎡,低层(共30层),2006年建造,西北,距14号线(东)九龙山步行1.8km,913
首城国际,朝阳,2,2,1,88.2㎡,低层(共28层),2010年建造,南,距14号线(东)九龙山步行919m,980
首城国际,朝阳,2,1,1,88㎡,中层(共20层),2010年建造,南,距14号线(东)九龙山步行919m,990
南湖东园(二区),朝阳,3,1,1,87㎡,低层(共14层),1997年建造,南北,距14号线(东)望京步行917m,670
阳光上东,朝阳,3,2,2,186.6㎡,低层(共9层),2009年建造,南北,距14号线(东)东风北桥步行1km,1817
华腾园,朝阳,2,1,1,99.6㎡,高层(共28层),2002年建造,东南,距14号线(东)平乐园步行1.4km,725
首城国际,朝阳,2,1,1,90.9㎡,中层(共28层),2010年建造,南,距14号线(东)九龙山步行919m,999
首城国际,朝阳,2,2,1,89.6㎡,高层(共28层),2010年建造,东南,距14号线(东)九龙山步行919m,970
百环家园,朝阳,2,2,1,95.8㎡,高层(共28层),2005年建造,西南,距14号线(东)九龙山步行1.5km,630
电子城小区,朝阳,2,1,1,94.7㎡,高层(共28层),2003年建造,西南,距14号线(东)东风北桥步行1.8km,515
首城国际,朝阳,3,1,1,89.1㎡,低层(共28层),2010年建造,南北,距14号线(东)九龙山步行919m,930
远洋天地,朝阳,1,1,1,83.4㎡,高层(共26层),2004年建造,西,距14号线(东)大望路步行1.9km,630
远洋天地,朝阳,4,3,3,208.3㎡,低层(共11层),2000年建造,南北,距14号线(东)大望路步行1.9km,1450
山水文园中园,朝阳,6,2,4,258.7㎡,低层(共9层),2002年建造,南北,距14号线(东)十里河步行1.4km,2300
远洋天地,朝阳,4,3,3,208.3㎡,低层(共11层),2000年建造,南北,距14号线(东)大望路步行1.9km,1450
东叁金茂府,丰台,4,2,3,160㎡,低层(共7层),2021年建造,南北,距14号线(东)十里河步行1.1km,1400
大西洋新城(C区),朝阳,3,2,1,86.2㎡,中层(共28层),1995年建造,西南,距14号线(东)阜通步行785m,760
利泽西园,朝阳,2,1,1,71.6㎡,中层(共6层),1998年建造,南北,距14号线(东)东湖渠步行444m,630
