name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
东大街东里社区,丰台,2,1,1,54.1㎡,低层(共6层),1992年建造,南北,,353
丰台路口东里,丰台,2,1,1,53.3㎡,低层(共6层),1990年建造,南,距14号线(西)七里庄步行1.4km,283
大井南里,丰台,2,1,1,50㎡,低层(共6层),1992年建造,南北,,285
中建一局南院,丰台,2,0,1,52.2㎡,低层(共6层),1980年建造,南北,,285
前泥洼小区(一区),丰台,1,1,1,43.5㎡,低层(共6层),1993年建造,南,,298
园博嘉园(西区),丰台,2,1,1,85㎡,低层(共15层),2004年建造,东西,,345
望园东里,丰台,2,1,1,97㎡,低层(共6层),2000年建造,南北,,505
望园东里,丰台,2,1,1,99㎡,低层(共6层),2000年建造,南北,,498
卢沟桥南里,丰台,2,2,1,92.7㎡,低层(共6层),2002年建造,南北,,378
丰益花园(西区),丰台,2,1,1,90㎡,低层(共9层),2000年建造,南北,,560
假日风景(C区),丰台,2,2,1,85.4㎡,共5层,2008年建造,东西,,519
假日风景(C区),丰台,2,1,1,85.4㎡,共5层,2008年建造,东西,,520
假日风景(C区),丰台,2,2,1,85.4㎡,共5层,2008年建造,东西,,519
假日风景(D区),丰台,2,1,1,80.6㎡,共5层,2011年建造,东西,,490
假日风景(C区),丰台,2,1,1,85.4㎡,共5层,2008年建造,东西,,520
假日风景(C区),丰台,2,1,1,85.7㎡,共5层,2008年建造,东西,,479
五里店南里,丰台,2,0,1,47.5㎡,低层(共6层),1990年建造,南,,245
东大街西里社区,丰台,2,1,1,59.1㎡,高层(共6层),1990年建造,南北,距14号线(西)七里庄步行707m,340
假日风景(D区),丰台,3,1,1,92㎡,低层(共9层),2012年建造,南北,,680
假日风景(D区),丰台,3,2,1,92.1㎡,低层(共9层),2011年建造,南北,,680
假日风景(D区),丰台,3,2,1,92.1㎡,低层(共9层),2011年建造,南北,,680
假日风景(D区),丰台,3,1,1,92㎡,低层(共9层),2012年建造,南北,,680
假日风景(D区),丰台,3,2,1,92.1㎡,低层(共9层),2012年建造,南北,,680
北大街社区,丰台,3,1,1,85㎡,低层(共6层),1982年建造,南北,,539.8
假日风景(D区),丰台,3,1,1,92㎡,低层(共9层),2012年建造,南北,,680
前泥洼小区(一区),丰台,1,1,1,44.4㎡,低层(共12层),1994年建造,西南,,290
大井东里,丰台,2,1,1,59.7㎡,高层(共6层),1992年建造,南,,283
东大街东里社区,丰台,2,1,1,54.1㎡,低层(共6层),1992年建造,南北,,353
大井南里,丰台,2,1,1,50㎡,低层(共6层),1992年建造,南北,,285
丰台路口东里,丰台,2,1,1,53.3㎡,低层(共6层),1990年建造,南,距14号线(西)七里庄步行1.4km,283
前泥洼小区(一区),丰台,1,1,1,43.5㎡,低层(共6层),1993年建造,南,,298
园博嘉园(西区),丰台,2,1,1,85㎡,低层(共15层),2014年建造,东西,,345
望园东里,丰台,2,1,1,99㎡,低层(共6层),2000年建造,南北,,498
假日风景(C区),丰台,2,2,1,85.4㎡,共5层,2008年建造,东西,,519
假日风景(C区),丰台,2,1,1,85.4㎡,共5层,2008年建造,东西,,520
东大街西里社区,丰台,2,1,1,59.1㎡,高层(共6层),1990年建造,南北,距14号线(西)七里庄步行707m,340
假日风景(D区),丰台,3,2,1,92.1㎡,低层(共9层),2012年建造,南北,,680
假日风景(D区),丰台,3,2,1,92.1㎡,低层(共9层),2011年建造,南北,,649
假日风景(D区),丰台,3,1,1,92㎡,低层(共9层),2012年建造,南北,,680
假日风景(D区),丰台,3,2,1,92.1㎡,低层(共9层),2011年建造,南北,,680
假日风景(D区),丰台,3,1,1,92㎡,低层(共9层),2008年建造,南北,,680
前泥洼小区(一区),丰台,1,1,1,44.4㎡,低层(共12层),1994年建造,西南,,290
东大街东里社区,丰台,2,1,1,54.1㎡,低层(共6层),1992年建造,南北,,353
大井南里,丰台,2,1,1,50㎡,低层(共6层),1992年建造,南北,,285
前泥洼小区(一区),丰台,1,1,1,43.5㎡,低层(共6层),1995年建造,南,,298
园博嘉园(西区),丰台,2,1,1,85㎡,低层(共15层),2004年建造,东西,,345
东大街西里社区,丰台,2,1,1,59.1㎡,高层(共6层),1990年建造,南北,距14号线(西)七里庄步行707m,340
假日风景(D区),丰台,3,2,1,92.1㎡,低层(共9层),2011年建造,南北,,680
假日风景(D区),丰台,3,2,1,92.1㎡,低层(共9层),2012年建造,南北,,680
