name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
流星花园三区,昌平,3,1,1,113.3㎡,低层(共6层),,西南,距8号线北段平西府步行966m,617
清缘里,海淀,2,2,1,84.5㎡,高层(共10层),2000年建造,南北,距8号线北段永泰庄步行1.2km,499
公园悦府,昌平,2,1,1,82㎡,中层(共22层),2015年建造,南,距8号线北段平西府步行372m,530
金胜嘉园,西城,3,1,1,92.3㎡,低层(共12层),2011年建造,南北,距8号线北段安德里北街步行1.9km,1660
龙锦苑东一区,昌平,2,1,1,98㎡,高层(共6层),2007年建造,南北,距8号线北段回龙观东大街步行1.3km,430
常秀家园,海淀,3,1,1,81.4㎡,高层(共6层),1994年建造,南北,距8号线北段育新步行1.6km,460
永泰西里(南区),海淀,2,1,1,58.2㎡,中层(共6层),1996年建造,南北,距8号线北段永泰庄步行626m,460
天龙苑,昌平,2,2,1,101㎡,低层(共11层),2007年建造,南北,距8号线北段回龙观东大街步行800m,560
强佑清河新城(东区),海淀,2,1,1,84.4㎡,高层(共27层),2012年建造,西,距8号线北段永泰庄步行1.7km,679
永泰庄路甲6号院,海淀,2,1,1,63.2㎡,高层(共6层),1991年建造,东西,距8号线北段永泰庄步行917m,415
清缘里,海淀,3,2,2,112.9㎡,中层(共10层),1999年建造,南北,距8号线北段永泰庄步行1.2km,645
龙华园(东区),昌平,2,1,1,70㎡,低层(共6层),2003年建造,南北,距8号线北段育知路步行1.7km,399
枫丹丽舍,海淀,4,2,2,176㎡,共4层,2004年建造,南北,距8号线北段霍营步行1.7km,1288
永泰园(中区),海淀,2,1,1,61.8㎡,高层(共6层),1998年建造,南北,距8号线北段永泰庄步行851m,470
永泰东里,海淀,2,1,1,60.5㎡,中层(共6层),1996年建造,南北,距8号线北段永泰庄步行733m,448
塔院胡同小区,西城,2,1,1,54.5㎡,低层(共6层),1980年建造,南北,距8号线北段安德里北街步行1.5km,920
霞公府,东城,4,2,4,351.2㎡,中层(共7层),2015年建造,南北,距8号线北段中国美术馆步行1.8km,5200
融域嘉园,朝阳,4,2,2,176.5㎡,低层(共15层),2007年建造,南北,距8号线北段林萃桥步行1.3km,1650
霞公府,东城,4,2,3,443.6㎡,高层(共6层),2020年建造,南北,距8号线北段中国美术馆步行1.8km,5780
永泰园(南区),海淀,2,1,1,64.2㎡,高层(共6层),1996年建造,东西,距8号线北段永泰庄步行1.1km,455
强佑清河新城(东区),海淀,3,2,2,139㎡,高层(共27层),,南北,距8号线北段永泰庄步行1.7km,960
强佑清河新城(东区),海淀,2,1,1,110.6㎡,低层(共20层),2020年建造,东南,距8号线北段永泰庄步行1.7km,850
怡清园小区,海淀,1,1,1,57.4㎡,低层(共6层),2002年建造,南,距8号线北段永泰庄步行666m,410
强佑清河新城(东区),海淀,1,1,1,62.5㎡,中层(共27层),2009年建造,北,距8号线北段永泰庄步行1.7km,465
励骏华庭,东城,4,2,3,445㎡,高层(共20层),2018年建造,南北,距8号线北段中国美术馆步行1.7km,5100
金胜嘉园,西城,3,1,1,92.3㎡,低层(共12层),2011年建造,南北,距8号线北段安德里北街步行1.9km,1660
龙跃苑(一区),昌平,3,1,1,124.2㎡,共5层,2005年建造,南北,距8号线北段霍营步行1.2km,530
龙跃苑(东二区),昌平,3,2,2,124.7㎡,中层(共6层),2006年建造,南北,距8号线北段霍营步行761m,575
励骏华庭,东城,2,1,1,267.5㎡,低层(共20层),2006年建造,南北,距8号线北段中国美术馆步行1.7km,3900
永泰庄路甲6号院,海淀,2,1,1,63.2㎡,高层(共6层),1991年建造,东西,距8号线北段永泰庄步行917m,415
天龙苑,昌平,1,1,1,63.1㎡,中层(共6层),2008年建造,北,距8号线北段回龙观东大街步行800m,385
公园悦府,昌平,3,1,2,114.1㎡,低层(共11层),2015年建造,南北,距8号线北段平西府步行372m,785
祥业家园,昌平,2,2,2,40㎡,中层(共18层),2019年建造,南北,距8号线北段朱辛庄步行500m,159
霞公府,东城,5,2,4,591㎡,高层(共7层),2011年建造,南北,距8号线北段中国美术馆步行1.8km,9500
励骏华庭,东城,2,2,2,268㎡,中层(共20层),2008年建造,东北,距8号线北段中国美术馆步行1.7km,4300
裕中西里,西城,3,1,1,78.7㎡,中层(共20层),2015年建造,南北,距8号线北段安华桥步行885m,1238
南池子大街49号四合院,东城,2,0,0,23㎡,共1层,2000年建造,南北,距8号线北段中国美术馆步行1.9km,480
融域嘉园,朝阳,2,2,2,108.8㎡,低层(共15层),2008年建造,南北,距8号线北段林萃桥步行1.3km,980
观澳园小区,海淀,2,1,1,85.1㎡,共5层,2008年建造,西北,,600
东厂胡同小区,东城,2,1,1,92.4㎡,共5层,1998年建造,东北,距8号线北段中国美术馆步行352m,1015
观澳园小区,海淀,2,1,1,85.1㎡,共5层,2007年建造,西北,,600
蓝天园小区,昌平,2,1,1,81.8㎡,共5层,1996年建造,南北,距8号线北段霍营步行1.1km,388
枫丹丽舍,海淀,2,1,1,99㎡,共4层,2002年建造,南北,距8号线北段霍营步行1.7km,710
蓝天园小区,昌平,2,1,1,81.8㎡,共5层,1996年建造,南北,距8号线北段霍营步行1.1km,395
龙跃苑(东五区),昌平,2,1,1,97.1㎡,共5层,2006年建造,南北,距8号线北段霍营步行450m,492
龙跃苑(东五区),昌平,2,1,1,97.3㎡,共5层,2007年建造,南北,距8号线北段霍营步行450m,492
六铺炕(三区),西城,2,2,1,87.2㎡,共4层,1953年建造,东,,1150
龙跃苑(东五区),昌平,2,1,1,97.1㎡,共5层,,南北,距8号线北段霍营步行450m,492
东厂胡同小区,东城,2,1,1,92.4㎡,共5层,1998年建造,东北,距8号线北段中国美术馆步行352m,1015
六铺炕(三区),西城,2,2,1,87.2㎡,共4层,1953年建造,东,,1150
观澳园小区,海淀,2,1,1,85.1㎡,共5层,2007年建造,西北,,600
枫丹丽舍,海淀,2,1,1,99㎡,共4层,2002年建造,南北,距8号线北段霍营步行1.7km,710
枫丹丽舍,海淀,2,1,1,99㎡,共4层,2004年建造,南北,距8号线北段霍营步行1.7km,710
六铺炕(三区),西城,2,2,1,87.2㎡,共4层,1953年建造,东,,1150
龙跃苑(东五区),昌平,2,1,1,97.1㎡,共5层,2008年建造,南北,距8号线北段霍营步行450m,492
龙跃苑(东五区),昌平,2,1,1,97.1㎡,共5层,2004年建造,南北,距8号线北段霍营步行450m,492
枫丹丽舍,海淀,2,1,1,99㎡,共4层,2003年建造,南北,距8号线北段霍营步行1.7km,710
枫丹丽舍,海淀,2,1,1,99㎡,共4层,2003年建造,南北,距8号线北段霍营步行1.7km,710
枫丹丽舍,海淀,2,1,1,99㎡,共4层,2002年建造,南北,距8号线北段霍营步行1.7km,710
枫丹丽舍,海淀,2,1,1,99㎡,共4层,2002年建造,南北,距8号线北段霍营步行1.7km,710
六铺炕(三区),西城,2,2,1,87.2㎡,共4层,1953年建造,东,,1150
龙跃苑(东五区),昌平,2,1,1,97.1㎡,共5层,2007年建造,南北,距8号线北段霍营步行450m,492
枫丹丽舍,海淀,2,1,1,99㎡,共4层,,南北,距8号线北段霍营步行1.7km,710
龙跃苑(东五区),昌平,2,1,1,97.1㎡,共5层,2005年建造,南北,距8号线北段霍营步行450m,492
龙跃苑(东五区),昌平,2,1,1,97.3㎡,共5层,2007年建造,南北,距8号线北段霍营步行450m,492
东厂胡同小区,东城,2,1,1,92.4㎡,共5层,1998年建造,东北,距8号线北段中国美术馆步行352m,1015
观澳园小区,海淀,2,1,1,85.1㎡,共5层,2007年建造,西北,,600
观澳园小区,海淀,2,1,1,85.1㎡,共5层,2005年建造,西北,,600
蓝天园小区,昌平,2,1,1,81.8㎡,共5层,1996年建造,南北,距8号线北段霍营步行1.1km,395
胜古南里,朝阳,2,1,1,83.9㎡,共4层,1960年建造,西南,距8号线北段安华桥步行1.8km,580
蓝天园小区,昌平,2,1,1,81.8㎡,共5层,1996年建造,南北,距8号线北段霍营步行1.1km,388
六铺炕(三区),西城,3,1,1,86.7㎡,共4层,1953年建造,南北,,1390
建研院,朝阳,3,1,1,90.2㎡,共5层,1984年建造,南北,距8号线北段安华桥步行2km,946
东厂胡同小区,东城,3,1,1,92.3㎡,共5层,1960年建造,南北,距8号线北段中国美术馆步行352m,1125
东四西大街40号小区,东城,3,1,1,85.9㎡,共5层,1960年建造,南北,,900
黄寺大街24号院,西城,3,2,2,96.4㎡,共5层,1999年建造,南北,,1500
黄寺大街24号院,西城,3,2,2,96.4㎡,共5层,1999年建造,南北,,1500
东四西大街40号小区,东城,3,1,1,90.4㎡,共5层,1960年建造,南,,900
龙跃苑(东五区),昌平,2,1,1,97.3㎡,共5层,2007年建造,南北,距8号线北段霍营步行450m,492
胜古南里,朝阳,2,1,1,83.9㎡,共4层,1960年建造,西南,距8号线北段安华桥步行1.8km,580
蓝天园小区,昌平,2,1,1,81.8㎡,共5层,1996年建造,南北,距8号线北段霍营步行1.1km,388
枫丹丽舍,海淀,2,1,1,99㎡,共4层,2003年建造,南北,距8号线北段霍营步行1.7km,710
龙跃苑(东五区),昌平,2,1,1,97.1㎡,共5层,2008年建造,南北,距8号线北段霍营步行450m,492
六铺炕(三区),西城,2,2,1,87.2㎡,共4层,1953年建造,东,,1150
六铺炕(三区),西城,3,1,1,86.7㎡,共4层,1953年建造,南北,,1390
黄寺大街24号院,西城,3,2,2,96.4㎡,共5层,1999年建造,南北,,1500
东四西大街40号小区,东城,3,1,1,90.4㎡,共5层,1960年建造,南,,900
建研院,朝阳,3,1,1,90.2㎡,共5层,1984年建造,南北,距8号线北段安华桥步行2km,946
六铺炕(三区),西城,2,2,1,87.2㎡,共4层,1953年建造,东,,1150
