name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
瀛海家园融园,大兴,2,1,1,85.1㎡,低层(共15层),2014年建造,南北,距8号线南段瀛海步行1.4km,290
瀛海家园融园,大兴,2,1,1,85.1㎡,低层(共15层),2014年建造,南北,距8号线南段瀛海步行1.4km,295
瀛海家园融园,大兴,2,1,1,85.1㎡,低层(共15层),2014年建造,南北,距8号线南段瀛海步行1.4km,295
四平园小区,西城,1,1,1,45㎡,低层(共7层),1996年建造,南北,距8号线南段天桥步行1.8km,635
北纬路49号院,西城,2,1,1,58.1㎡,高层(共6层),1988年建造,南北,距8号线南段天桥步行733m,570
前门前小区,东城,4,2,2,89.7㎡,高层(共7层),2009年建造,南北,距8号线南段珠市口步行1.1km,930
瀛海家园逸园,大兴,1,1,1,58㎡,低层(共15层),2014年建造,南北,距8号线南段德茂步行1.6km,225
西园子社区,东城,1,1,1,14.2㎡,共1层,1999年建造,南,距8号线南段珠市口步行2km,190
陶然北岸韵竹园,西城,2,1,1,91.8㎡,低层(共18层),2005年建造,东,距8号线南段天桥步行1.5km,1130
海晏春秋,大兴,5,3,4,393㎡,共2层,2022年建造,南北,距8号线南段瀛海步行430m,1780
前门前小区,东城,2,1,1,75.6㎡,高层(共6层),2009年建造,南北,距8号线南段珠市口步行1.1km,858
中海紫御公馆,东城,2,1,1,61.6㎡,低层(共26层),2011年建造,西北,距8号线南段永定门外步行1.2km,623
一瓶,西城,3,2,2,151.2㎡,高层(共13层),2008年建造,东西,距8号线南段天桥步行1.7km,2720
中国铁建花语金郡,大兴,4,2,2,128㎡,低层(共17层),2019年建造,南北,距8号线南段德茂步行969m,718
一瓶,西城,4,2,3,181.8㎡,低层(共13层),2009年建造,南北,距8号线南段天桥步行1.7km,2850
中国铁建花语金郡,大兴,4,2,2,128㎡,中层(共18层),2017年建造,南,距8号线南段德茂步行969m,730
中海紫御公馆,东城,3,2,2,136㎡,高层(共25层),2010年建造,南,距8号线南段永定门外步行1.2km,1600
瀛海家园融园,大兴,2,1,1,85.1㎡,低层(共15层),2014年建造,南北,距8号线南段瀛海步行1.4km,295
四平园小区,西城,2,1,1,98㎡,低层(共13层),2006年建造,南北,距8号线南段天桥步行1.8km,950
响鼓胡同小区,西城,1,1,1,30㎡,共1层,2000年建造,西,距8号线南段天桥步行1.8km,460
瀛海家园逸园,大兴,1,1,1,59.4㎡,中层(共15层),2014年建造,南北,距8号线南段德茂步行1.6km,220
东经路6号院,西城,3,2,2,128㎡,中层(共6层),2000年建造,东西,距8号线南段天桥步行777m,1160
銮庆胡同小区,东城,6,2,2,220㎡,共1层,1949年建造,南北,距8号线南段珠市口步行1.2km,2100
中国铁建花语金郡,大兴,4,2,2,128㎡,低层(共18层),2015年建造,南北,距8号线南段德茂步行969m,725
前门西河沿街,西城,1,1,1,13㎡,共1层,2000年建造,南北,距8号线南段珠市口步行1.8km,258
前门大栅栏,西城,1,1,1,10.6㎡,共1层,2000年建造,南,距8号线南段珠市口步行1.1km,190
西园子社区,东城,1,1,1,12㎡,共1层,2000年建造,南,距8号线南段珠市口步行2km,170
海晏春秋,大兴,4,2,3,325.2㎡,共2层,2018年建造,南北,距8号线南段瀛海步行430m,1300
清和园,大兴,2,2,1,91.3㎡,低层(共6层),2001年建造,南北,,345
海户屯(北区),丰台,2,1,1,53.2㎡,低层(共6层),1990年建造,南北,,350
万源南里,丰台,2,1,1,58㎡,低层(共6层),2000年建造,南北,,299
大红门西后街,丰台,2,1,1,54.2㎡,低层(共6层),1985年建造,南北,距8号线南段大红门南步行854m,285
蒲黄榆五巷,丰台,2,1,1,59.5㎡,低层(共6层),1982年建造,东西,,299
芳源里,大兴,1,1,1,57㎡,低层(共6层),2003年建造,南北,,299
芳源里,大兴,1,1,1,56㎡,低层(共6层),2000年建造,南北,,299
世嘉丽晶,丰台,1,1,1,51.1㎡,低层(共6层),2005年建造,南,距8号线南段和义步行600m,288
瀛海家园逸园,大兴,2,1,1,82.7㎡,低层(共15层),2014年建造,南北,距8号线南段德茂步行1.6km,288
瀛海家园融园,大兴,2,2,1,88.9㎡,低层(共15层),2014年建造,南北,距8号线南段瀛海步行1.4km,288
三槐家园,大兴,2,2,1,86.5㎡,高层(共10层),2011年建造,南北,,340
和义西里(三区),丰台,2,1,1,81.8㎡,高层(共6层),2000年建造,南北,,349
万源南里,丰台,2,1,1,86㎡,高层(共6层),2000年建造,南北,,356
玉璟园,大兴,2,1,1,89㎡,高层(共6层),2006年建造,南北,,347.5
兴隆都市馨园,东城,2,2,1,87.4㎡,低层(共6层),2004年建造,东西,,850
玉璟园,大兴,2,1,1,95㎡,低层(共9层),2006年建造,南北,,401
和义西里(二区),丰台,2,1,1,95.4㎡,低层(共6层),2009年建造,南北,,438
润枫锦尚,大兴,2,2,1,89㎡,低层(共10层),2000年建造,南,,395
海户屯(北区),丰台,2,1,1,53.2㎡,低层(共6层),1990年建造,南北,,350
大红门西后街,丰台,2,1,1,54.2㎡,低层(共6层),1985年建造,南北,距8号线南段大红门南步行854m,285
蒲黄榆五巷,丰台,2,1,1,59.5㎡,低层(共6层),1982年建造,东西,,299
芳源里,大兴,1,1,1,57㎡,低层(共6层),2000年建造,南北,,299
世嘉丽晶,丰台,1,1,1,51.1㎡,低层(共6层),2005年建造,南,距8号线南段和义步行600m,288
瀛海家园融园,大兴,2,2,1,88.9㎡,低层(共15层),2014年建造,南北,距8号线南段瀛海步行1.4km,285
瀛海家园逸园,大兴,2,1,1,82.7㎡,低层(共15层),2016年建造,南北,距8号线南段德茂步行1.6km,290
和义西里(三区),丰台,2,1,1,81.8㎡,高层(共6层),2000年建造,南北,,349
大红门西后街,丰台,2,1,1,54.2㎡,低层(共6层),1985年建造,南北,距8号线南段大红门南步行854m,285
世嘉丽晶,丰台,1,1,1,51.1㎡,低层(共6层),2005年建造,南,距8号线南段和义步行600m,288
瀛海家园融园,大兴,2,2,1,88.9㎡,低层(共15层),2014年建造,南北,距8号线南段瀛海步行1.4km,290
和义西里(三区),丰台,2,1,1,81.8㎡,高层(共6层),2000年建造,南北,,349
大红门西后街,丰台,2,1,1,54.2㎡,低层(共6层),1985年建造,南北,距8号线南段大红门南步行854m,285
和义西里(三区),丰台,2,1,1,81.8㎡,高层(共6层),2000年建造,南北,,349
芳源里,大兴,2,1,1,94㎡,低层(共6层),2000年建造,南北,,415
