name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
百子湾家园(A区),朝阳,2,1,2,112㎡,高层(共16层),2008年建造,南北,距八通线四惠东步行1.9km,590
瑞祥里东区,朝阳,2,1,1,87.1㎡,低层(共6层),2008年建造,南北,距八通线八里桥步行1.5km,390
花涧溪,通州,2,1,1,94㎡,中层(共12层),2006年建造,南北,距八通线临河里步行957m,410
金地名京,朝阳,2,1,1,85.6㎡,中层(共14层),2009年建造,南,距八通线四惠步行289m,698
天时名苑,通州,3,1,1,99.2㎡,中层(共15层),2009年建造,东南,距八通线通州北苑步行439m,495
福怡苑小区(北区),朝阳,1,1,1,51.2㎡,低层(共7层),1998年建造,南北,距八通线传媒大学步行1.5km,273
朗峰嘉园,通州,2,1,2,57.2㎡,低层(共14层),2012年建造,东,距八通线通州北苑步行668m,369
新华联家园(北区),通州,2,1,1,90㎡,低层(共6层),2004年建造,南北,距八通线果园步行642m,405
京通苑阳光华苑,朝阳,2,1,1,86.2㎡,低层(共26层),2003年建造,东南,距八通线管庄步行888m,390
北京新天地(东区),朝阳,2,2,1,91.8㎡,低层(共28层),2011年建造,南,距八通线管庄步行1.3km,495
北京新天地(东区),朝阳,2,1,1,91.2㎡,低层(共28层),2010年建造,南,距八通线管庄步行1.3km,480
北京新天地(东区),朝阳,2,2,1,91.7㎡,低层(共26层),2010年建造,南,距八通线管庄步行1.3km,490
通惠南路小区,通州,2,1,1,45㎡,共4层,1985年建造,南,距八通线通州北苑步行880m,225
万方家园(朝阳),朝阳,2,1,1,84.3㎡,中层(共6层),2006年建造,南北,距八通线双桥步行1.4km,399
绿岛苑(东区),朝阳,1,1,1,44.1㎡,高层(共6层),1987年建造,南,距八通线传媒大学步行1.5km,225
远洋一方林语苑,朝阳,3,1,1,90.4㎡,中层(共6层),2009年建造,南北,距八通线管庄步行1.5km,543
双桥铁路小区(南一区),朝阳,2,1,1,58㎡,共5层,1989年建造,南北,距八通线双桥步行1.4km,251
双桥铁路小区(南一区),朝阳,2,1,1,58㎡,共5层,1989年建造,南北,距八通线双桥步行1.4km,251
北京新天地(东区),朝阳,1,0,1,51.8㎡,低层(共20层),2009年建造,北,距八通线管庄步行1.3km,275
世纪星城,通州,2,1,1,92㎡,低层(共18层),2010年建造,南北,距八通线果园步行1.4km,480
新华联家园(北区),通州,3,2,2,134㎡,低层(共11层),2003年建造,南北,距八通线果园步行642m,606
群芳三园(南区),通州,3,1,1,113.4㎡,低层(共6层),1999年建造,南北,距八通线梨园步行1.7km,408
定福庄西街小区,朝阳,1,1,1,44㎡,高层(共6层),1994年建造,南北,距八通线传媒大学步行638m,231
北京新天地(东区),朝阳,2,1,1,94.4㎡,高层(共28层),2009年建造,西南,距八通线管庄步行1.3km,518
北京新天地(东区),朝阳,2,2,1,93㎡,高层(共26层),2009年建造,南,距八通线管庄步行1.3km,555
北京新天地(西区),朝阳,2,2,1,93㎡,高层(共26层),2009年建造,南,距八通线管庄步行1.2km,555
瑞祥里西区,朝阳,3,1,2,125㎡,中层(共9层),2007年建造,南北,距八通线八里桥步行1.4km,550
远洋天地,朝阳,1,1,1,83.4㎡,高层(共26层),2004年建造,西,距八通线四惠步行659m,630
远洋天地,朝阳,4,3,3,208.3㎡,低层(共11层),2000年建造,南北,距八通线四惠步行659m,1450
远洋天地,朝阳,4,3,3,208.3㎡,低层(共11层),2000年建造,南北,距八通线四惠步行659m,1450
北京新天地(西区),朝阳,2,1,1,64.8㎡,低层(共28层),2008年建造,东北,距八通线管庄步行1.2km,349
世纪星城,通州,3,2,2,170㎡,低层(共18层),2010年建造,南北,距八通线果园步行1.4km,670
世纪星城,通州,3,2,2,245㎡,低层(共18层),2010年建造,南北,距八通线果园步行1.4km,860
京通苑阳光华苑,朝阳,3,1,2,137㎡,低层(共26层),2000年建造,西南,距八通线管庄步行888m,590
京通苑阳光华苑,朝阳,3,1,2,137㎡,低层(共26层),2000年建造,西南,距八通线管庄步行888m,590
复兴北里,通州,1,1,1,36㎡,低层(共6层),2003年建造,南,距八通线果园步行872m,197
京通苑阳光华苑,朝阳,2,1,1,75.2㎡,中层(共6层),1998年建造,南北,距八通线管庄步行888m,370
新华联锦园,通州,2,1,1,101㎡,中层(共8层),2003年建造,南北,距八通线通州北苑步行1.5km,419
农印家属院,通州,2,1,1,54.2㎡,共5层,1980年建造,南,距八通线通州北苑步行803m,235
柏林爱乐(一期),朝阳,3,2,2,151.1㎡,高层(共7层),2004年建造,南北,距八通线双桥步行1.8km,818
建东苑(西区),朝阳,3,2,1,111.7㎡,中层(共6层),2005年建造,南北,距八通线双桥步行1.3km,540
美然动力街区A3区,朝阳,3,2,2,121㎡,高层(共6层),2002年建造,南北,距八通线传媒大学步行1.7km,550
新华联家园(南区),通州,3,2,2,151㎡,中层(共6层),2002年建造,南北,距八通线果园步行1.1km,800
远洋天地,朝阳,3,2,2,145.2㎡,低层(共26层),2004年建造,南,距八通线四惠步行659m,950
北京新天地(西区),朝阳,3,2,2,150.8㎡,低层(共27层),2011年建造,南北,距八通线管庄步行1.2km,880
远洋天地,朝阳,3,2,2,145.2㎡,低层(共26层),2004年建造,南,距八通线四惠步行659m,950
远洋天地,朝阳,3,2,2,145.2㎡,低层(共26层),2004年建造,南,距八通线四惠步行659m,950
远洋天地,朝阳,3,2,2,145.2㎡,低层(共26层),2004年建造,南,距八通线四惠步行659m,950
远洋天地,朝阳,3,2,2,145.2㎡,低层(共26层),2004年建造,南,距八通线四惠步行659m,950
新华联家园(北区),通州,3,2,2,142㎡,高层(共11层),2003年建造,南,距八通线果园步行642m,615
