name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
徜徉嘉园(8号院),房山,3,2,2,137.4㎡,低层(共20层),2011年建造,南北,距房山线长阳步行1.5km,595
鸿顺园(西区),房山,2,1,1,92㎡,低层(共6层),2005年建造,南北,距房山线良乡大学城西步行487m,286
蓝光海悦城,房山,3,1,1,86.2㎡,低层(共10层),2017年建造,南北,距房山线苏庄步行933m,315
中海寰宇视界,房山,3,2,2,96㎡,低层(共11层),2021年建造,南北,距房山线稻田步行714m,510
长阳半岛4号院,房山,3,2,1,95㎡,高层(共9层),2014年建造,南北,距房山线长阳步行937m,455
芭蕾雨悦都(二期),房山,3,2,1,88.2㎡,中层(共9层),2013年建造,南北,距房山线篱笆房步行324m,402
昊天嘉园,房山,2,1,1,91㎡,低层(共6层),2003年建造,南北,距房山线良乡大学城西步行682m,243
金地朗悦朗园,房山,2,2,1,80.4㎡,低层(共14层),2012年建造,南北,距房山线良乡大学城北步行1.3km,386
苏庄二里,房山,2,1,1,87.5㎡,高层(共6层),2002年建造,东西,距房山线苏庄步行852m,248
长阳半岛云湾家园1号院,房山,2,1,1,82㎡,低层(共18层),2014年建造,南,距房山线长阳步行848m,355
太平庄西里(北区),房山,2,2,1,92.8㎡,低层(共6层),2000年建造,南北,距房山线苏庄步行1.9km,228
金地朗悦朗园,房山,3,1,1,89.3㎡,低层(共9层),2012年建造,南北,距房山线良乡大学城北步行1.3km,408
金地朗悦朗园,房山,3,1,1,89.3㎡,低层(共9层),2012年建造,南北,距房山线良乡大学城北步行1.3km,408
金地朗悦朗园,房山,3,1,1,89.3㎡,低层(共9层),2012年建造,南北,距房山线良乡大学城北步行1.3km,408
长景新园,房山,2,1,1,81.5㎡,高层(共7层),2011年建造,南北,距房山线稻田步行457m,252
长景新园,房山,2,1,1,81.5㎡,高层(共7层),2011年建造,南北,距房山线稻田步行457m,252
苏庄二里,房山,2,2,1,95㎡,高层(共6层),2000年建造,南北,距房山线苏庄步行852m,250.8
长阳半岛4号院,房山,2,1,1,53㎡,低层(共21层),2013年建造,南北,距房山线长阳步行937m,200
太平庄西里(南区),房山,1,1,1,49.7㎡,低层(共6层),1999年建造,南,距房山线苏庄步行2km,155
长龙苑,房山,2,1,1,79.3㎡,低层(共6层),2000年建造,南北,距房山线稻田步行1.9km,234
建邦华庭西区,房山,3,1,1,108.9㎡,低层(共11层),2015年建造,南北,距房山线长阳步行815m,480
佳世苑北区,房山,2,2,1,95.8㎡,低层(共14层),2010年建造,南北,距房山线苏庄步行667m,320
首开熙悦山熹园,房山,2,1,1,87.2㎡,低层(共21层),2014年建造,南北,距房山线长阳步行856m,338
良中家属楼,房山,2,1,1,86.3㎡,中层(共6层),2000年建造,南北,距房山线良乡南关步行762m,205
长阳半岛云湾家园1号院,房山,2,1,1,82㎡,中层(共19层),2014年建造,南,距房山线长阳步行848m,349
玉竹园小区一里,房山,2,1,1,40㎡,中层(共12层),2014年建造,南北,距房山线良乡大学城西步行593m,75
碧波园,房山,2,2,2,113㎡,中层(共6层),2002年建造,南北,距房山线广阳城步行658m,298
昊天伟业嘉园西里,房山,3,2,2,130.4㎡,低层(共6层),2004年建造,南北,距房山线良乡大学城西步行1.3km,380
康泽佳苑,房山,2,1,1,55㎡,高层(共18层),2014年建造,南北,距房山线长阳步行799m,200
康泽佳苑,房山,2,1,1,55㎡,高层(共18层),2014年建造,南北,距房山线长阳步行799m,200
金地朗悦朗园,房山,3,2,1,89.5㎡,高层(共14层),2010年建造,南北,距房山线良乡大学城北步行1.3km,410
金地朗悦朗园,房山,3,2,1,89.5㎡,高层(共14层),2010年建造,南北,距房山线良乡大学城北步行1.3km,410
玉竹园小区一里,房山,2,1,1,77.7㎡,共4层,2001年建造,南,距房山线良乡大学城西步行593m,195
东关家园,房山,3,2,1,94.4㎡,高层(共6层),2002年建造,南北,距房山线良乡南关步行1.3km,225
中海寰宇视界,房山,2,2,1,76㎡,共5层,2021年建造,南北,距房山线稻田步行714m,360
紫云家园10号院,房山,3,2,2,120㎡,低层(共15层),2014年建造,南北,距房山线长阳步行1.3km,560
万年花城玫瑰碗(万年花城三期),丰台,2,1,1,94㎡,中层(共16层),2006年建造,东南,距房山线首经贸步行1.4km,605
