name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
嘉里星源汇,朝阳,1,1,1,86㎡,中层(共21层),,东北,距首都机场线三元桥步行2km,865
嘉里星源汇,朝阳,1,1,1,86㎡,中层(共21层),2009年建造,东北,距首都机场线三元桥步行2km,865
万方景轩,朝阳,2,2,2,96.7㎡,低层(共21层),2005年建造,南北,距首都机场线三元桥步行1.8km,860
瑞士公寓,东城,2,1,1,90㎡,高层(共17层),2007年建造,北,距首都机场线东直门步行1.6km,850
万国城MOMA,东城,2,2,1,97㎡,高层(共30层),2006年建造,西,距首都机场线东直门步行1.3km,1200
半岛国际公寓,朝阳,2,2,1,95.1㎡,中层(共18层),2006年建造,东南,距首都机场线三元桥步行1.5km,938
金星园,朝阳,3,2,2,177㎡,低层(共16层),2008年建造,南北,距首都机场线三元桥步行1km,1848
幸福一村,朝阳,2,2,2,141㎡,低层(共6层),1958年建造,南北,距首都机场线东直门步行1.7km,1300
幸福一村,朝阳,2,2,2,141㎡,低层(共6层),1958年建造,南北,距首都机场线东直门步行1.7km,1300
金星园,朝阳,3,2,2,148㎡,低层(共22层),2008年建造,东南,距首都机场线三元桥步行1km,1419
万国城MOMA,东城,3,2,3,253㎡,低层(共30层),2006年建造,南北,距首都机场线东直门步行1.3km,2600
远洋新干线,朝阳,3,2,2,158.2㎡,中层(共22层),,南,距首都机场线三元桥步行1.4km,1260
远洋公馆,朝阳,4,2,3,266㎡,低层(共23层),2008年建造,西南,距首都机场线三元桥步行1.5km,2000
美惠大厦,东城,3,1,2,177.9㎡,高层(共15层),1998年建造,东,距首都机场线东直门步行1.8km,1100
铂晶豪庭,东城,3,2,2,158.5㎡,高层(共12层),2011年建造,西南,距首都机场线东直门步行595m,1480
东直门北小街2号小区,东城,2,2,3,222.1㎡,中层(共19层),2003年建造,南北,距首都机场线东直门步行1.6km,1515
远洋公馆,朝阳,3,2,2,194.5㎡,高层(共23层),2009年建造,西北,距首都机场线三元桥步行1.5km,1450
当代MOMA,东城,3,2,2,205.4㎡,低层(共21层),2008年建造,西南,距首都机场线东直门步行1.4km,2460
东方银座,东城,2,2,2,138㎡,高层(共29层),2003年建造,南,距首都机场线东直门步行487m,1050
东方银座,东城,2,2,2,138㎡,高层(共29层),2003年建造,南,距首都机场线东直门步行487m,1050
当代MOMA,东城,5,2,3,359.8㎡,高层(共25层),2009年建造,南北,距首都机场线东直门步行1.4km,3099
万国城MOMA,东城,2,1,1,97.4㎡,高层(共30层),2004年建造,西,距首都机场线东直门步行1.3km,1200
万国城MOMA,东城,2,2,1,97㎡,高层(共30层),2006年建造,西,距首都机场线东直门步行1.3km,1200
万国城MOMA,东城,2,1,1,99.2㎡,中层(共31层),2007年建造,西,距首都机场线东直门步行1.3km,970
幸福一村,朝阳,2,2,2,141㎡,低层(共6层),1958年建造,南北,距首都机场线东直门步行1.7km,1300
幸福一村,朝阳,2,2,2,141㎡,低层(共6层),1958年建造,南北,距首都机场线东直门步行1.7km,1300
