name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
信园,门头沟,2,1,1,86.3㎡,中层(共6层),1997年建造,南北,距S1线上岸步行1.4km,295
丽景长安(一期),门头沟,2,1,1,91.9㎡,高层(共26层),2013年建造,南北,距S1线上岸步行1.6km,395
丽景长安(一期),门头沟,2,1,1,88.8㎡,中层(共26层),2014年建造,南,距S1线上岸步行1.6km,385
金顶街四区,石景山,2,1,1,72㎡,低层(共6层),1999年建造,南北,距S1线苹果园步行846m,395
丽景长安(二期),门头沟,3,2,2,136.9㎡,低层(共27层),2015年建造,南北,距S1线上岸步行1.7km,566
丽景长安(一期),门头沟,3,2,2,139.9㎡,低层(共11层),2012年建造,南北,距S1线上岸步行1.6km,599
信园,门头沟,2,1,1,86.3㎡,中层(共6层),1997年建造,南北,距S1线上岸步行1.4km,295
永兴住宅小区,门头沟,2,1,1,75.3㎡,中层(共12层),2015年建造,南北,距S1线桥户营步行1.2km,240
丽景长安(一期),门头沟,2,1,1,87.1㎡,低层(共23层),2012年建造,东南,距S1线上岸步行1.6km,379
丽景长安(一期),门头沟,2,1,1,87.1㎡,中层(共26层),2012年建造,南,距S1线上岸步行1.6km,378
石龙北路27号院,门头沟,2,1,1,41㎡,低层(共20层),2015年建造,南北,距S1线桥户营步行1.7km,113
冯村嘉园(二区),门头沟,2,1,1,50㎡,中层(共12层),2015年建造,南北,距S1线上岸步行1.5km,170
信园,门头沟,1,1,1,50㎡,高层(共10层),2015年建造,南北,距S1线上岸步行1.4km,180
冯村嘉园(二区),门头沟,2,2,1,50㎡,低层(共18层),2015年建造,南北,距S1线上岸步行1.5km,160
冯村嘉园(一区),门头沟,2,1,1,47㎡,高层(共22层),2015年建造,南北,距S1线上岸步行1.5km,130
中骏天峰,门头沟,3,2,2,113㎡,高层(共26层),2019年建造,南北,距S1线桥户营步行25m,613
冯村嘉园(一区),门头沟,2,1,1,40㎡,中层(共12层),2015年建造,南北,距S1线上岸步行1.5km,110
石龙北路9号院,门头沟,2,1,1,42㎡,高层(共17层),2017年建造,南北,距S1线桥户营步行2km,103
北京城建龙樾西山(东区),门头沟,3,1,2,118㎡,低层(共18层),2019年建造,南北,距S1线上岸步行1.6km,490
苹果园三区,石景山,2,1,1,80.9㎡,低层(共16层),1994年建造,南,距S1线苹果园步行1.4km,356
信园,门头沟,2,1,1,86.3㎡,低层(共6层),1997年建造,南北,距S1线上岸步行1.4km,295
苹果园四区,石景山,2,1,1,46.9㎡,共5层,1979年建造,南北,,249
永兴住宅小区,门头沟,2,1,1,82.8㎡,高层(共6层),1997年建造,东西,距S1线桥户营步行1.2km,259
杨庄中区,石景山,2,1,1,86.5㎡,中层(共17层),1996年建造,东南,距S1线苹果园步行1.9km,355
御景山小区,石景山,2,1,1,98.1㎡,低层(共17层),2004年建造,南北,距S1线苹果园步行1.8km,595
首钢金顶街三区居民区(金顶街三区),石景山,2,1,1,90.6㎡,低层(共12层),2003年建造,南北,距S1线苹果园步行655m,450
苹果园三区,石景山,2,1,1,80.9㎡,低层(共16层),1997年建造,南,距S1线苹果园步行1.4km,368
金顶街(二区),石景山,2,1,1,95.2㎡,低层(共16层),2003年建造,南北,距S1线苹果园步行1.3km,415
苹果园三区,石景山,2,1,1,80.9㎡,低层(共16层),1994年建造,南,距S1线苹果园步行1.4km,368
永兴住宅小区,门头沟,2,1,1,82.8㎡,高层(共6层),1997年建造,东西,距S1线桥户营步行1.2km,259
杨庄中区,石景山,2,1,1,86.5㎡,中层(共17层),1996年建造,东南,距S1线苹果园步行1.9km,355
苹果园三区,石景山,2,1,1,80.9㎡,低层(共16层),1994年建造,南,距S1线苹果园步行1.4km,368
御景山小区,石景山,2,1,1,98.1㎡,低层(共17层),2004年建造,南北,距S1线苹果园步行1.8km,595
首钢金顶街三区居民区(金顶街三区),石景山,2,1,1,90.6㎡,低层(共12层),2003年建造,南北,距S1线苹果园步行655m,450
永兴住宅小区,门头沟,2,1,1,82.8㎡,高层(共6层),1997年建造,东西,距S1线桥户营步行1.2km,259
杨庄中区,石景山,2,1,1,86.5㎡,中层(共17层),1996年建造,东南,距S1线苹果园步行1.9km,355
御景山小区,石景山,2,1,1,98.1㎡,低层(共17层),2004年建造,南北,距S1线苹果园步行1.8km,595
苹果园三区,石景山,2,1,1,80.9㎡,低层(共16层),1994年建造,南,距S1线苹果园步行1.4km,368
首钢金顶街三区居民区(金顶街三区),石景山,2,1,1,90.6㎡,低层(共12层),2003年建造,南北,距S1线苹果园步行655m,450
永兴住宅小区,门头沟,2,1,1,82.8㎡,高层(共6层),1997年建造,东西,距S1线桥户营步行1.2km,259
杨庄中区,石景山,2,1,1,86.5㎡,中层(共17层),1996年建造,东南,距S1线苹果园步行1.9km,355
首钢金顶街三区居民区(金顶街三区),石景山,2,1,1,90.6㎡,低层(共12层),2003年建造,南北,距S1线苹果园步行655m,450
苹果园三区,石景山,2,1,1,80.9㎡,低层(共16层),1994年建造,南,距S1线苹果园步行1.4km,368
御景山小区,石景山,2,1,1,98.1㎡,低层(共17层),2004年建造,南北,距S1线苹果园步行1.8km,595
永兴住宅小区,门头沟,2,1,1,82.8㎡,高层(共6层),1997年建造,东西,距S1线桥户营步行1.2km,259
杨庄中区,石景山,2,1,1,86.5㎡,中层(共17层),1996年建造,东南,距S1线苹果园步行1.9km,355
苹果园三区,石景山,2,1,1,80.9㎡,低层(共16层),1994年建造,南,距S1线苹果园步行1.4km,368
首钢金顶街三区居民区(金顶街三区),石景山,2,1,1,90.6㎡,低层(共12层),2003年建造,南北,距S1线苹果园步行655m,450
