name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
万柳星标家园西区,海淀,3,2,2,156.6㎡,低层(共17层),2004年建造,东西,距西郊线巴沟步行1.2km,2200
万城华府尚园,海淀,5,2,3,349.9㎡,共5层,2006年建造,南北,距西郊线巴沟步行1.1km,7500
康桥水郡,海淀,2,2,2,126.1㎡,中层(共14层),2003年建造,南北,距西郊线巴沟步行1.8km,2100
康桥水郡,海淀,2,2,2,126.1㎡,中层(共14层),2013年建造,南北,距西郊线巴沟步行1.8km,2100
万柳星标家园东区,海淀,3,2,2,141.9㎡,低层(共12层),2003年建造,南,距西郊线巴沟步行1.2km,2100
光大花园,海淀,3,1,1,111.8㎡,低层(共17层),2000年建造,西北,距西郊线巴沟步行1.6km,1550
万柳星标家园东区,海淀,3,2,2,141.9㎡,低层(共12层),2003年建造,南,距西郊线巴沟步行1.2km,2100
万柳星标家园东区,海淀,3,2,2,141.9㎡,低层(共12层),2003年建造,南,距西郊线巴沟步行1.2km,2100
万柳星标家园东区,海淀,3,2,2,141.9㎡,低层(共12层),2003年建造,南,距西郊线巴沟步行1.2km,2100
万柳星标家园东区,海淀,3,2,2,141.9㎡,低层(共12层),2003年建造,南,距西郊线巴沟步行1.2km,2100
万柳星标家园东区,海淀,3,2,2,141.9㎡,低层(共12层),2003年建造,南,距西郊线巴沟步行1.2km,2100
万柳星标家园东区,海淀,3,2,2,141.9㎡,低层(共12层),2003年建造,南,距西郊线巴沟步行1.2km,2100
长远天地,海淀,1,1,0,127.9㎡,高层(共21层),2002年建造,南,距西郊线巴沟步行1.3km,830
大河庄苑,海淀,1,1,1,74.5㎡,中层(共18层),2005年建造,东南,距西郊线巴沟步行1.7km,760
康桥水郡,海淀,4,2,2,253.8㎡,高层(共15层),2013年建造,南北,距西郊线巴沟步行1.8km,2950
御墅临枫,海淀,3,2,2,187.7㎡,中层(共6层),2007年建造,南北,距西郊线茶棚步行1.9km,1449
御墅临枫,海淀,3,2,2,187.7㎡,中层(共6层),2007年建造,南北,距西郊线茶棚步行1.9km,1449
御墅临枫,海淀,3,2,2,187.7㎡,中层(共6层),2007年建造,南北,距西郊线茶棚步行1.9km,1449
御墅临枫,海淀,3,2,2,187.7㎡,中层(共6层),2007年建造,南北,距西郊线茶棚步行1.9km,1449
光大花园,海淀,3,2,2,135.6㎡,高层(共20层),2000年建造,东北,距西郊线巴沟步行1.6km,1650
西屋国际公寓,海淀,3,2,2,178.6㎡,低层(共22层),2004年建造,西南,距西郊线巴沟步行1.9km,1315
万城华府尚园,海淀,6,3,5,680㎡,共5层,2007年建造,南北,距西郊线巴沟步行1.1km,11000
御墅临枫(别墅),海淀,5,3,6,492.7㎡,共4层,2006年建造,南北,距西郊线茶棚步行1.9km,4300
北坞嘉园北里,海淀,2,2,1,85㎡,中层(共6层),2010年建造,南北,距西郊线茶棚步行586m,675
康桥水郡,海淀,4,2,1,252.2㎡,低层(共16层),2003年建造,南北,距西郊线巴沟步行1.8km,2990
万柳星标家园西区,海淀,3,1,2,146㎡,低层(共17层),2004年建造,南北,距西郊线巴沟步行1.2km,2000
稻香园小区,海淀,2,1,1,55.1㎡,高层(共6层),1992年建造,南,距西郊线巴沟步行1.7km,750
远中悦莱,海淀,1,2,1,75㎡,高层(共21层),2005年建造,西,距西郊线巴沟步行1.5km,800
康桥水郡,海淀,4,2,2,252.2㎡,低层(共16层),2003年建造,南北,距西郊线巴沟步行1.8km,2710
晴雪园,海淀,2,1,1,93.6㎡,低层(共12层),2004年建造,南,距西郊线巴沟步行1.8km,1395
稻香园小区,海淀,2,1,1,92.9㎡,低层(共16层),1992年建造,东南,距西郊线巴沟步行1.7km,940
光大花园,海淀,2,1,1,86.3㎡,低层(共17层),2003年建造,西南,距西郊线巴沟步行1.6km,1426
光大花园,海淀,2,1,1,86.3㎡,低层(共17层),2000年建造,西南,距西郊线巴沟步行1.6km,1426
光大花园,海淀,2,1,1,86.3㎡,低层(共17层),2000年建造,西南,距西郊线巴沟步行1.6km,1426
稻香园小区,海淀,2,1,1,92.9㎡,低层(共16层),1992年建造,东南,距西郊线巴沟步行1.7km,940
晴雪园,海淀,2,1,1,93.6㎡,低层(共12层),2004年建造,南,距西郊线巴沟步行1.8km,1395
