name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
天恒乐活城(北区),房山,2,2,1,87.7㎡,低层(共20层),2010年建造,南北,距燕房线阎村步行573m,247
天恒乐活城(北区),房山,2,2,1,89.7㎡,低层(共18层),2010年建造,南北,距燕房线阎村步行573m,241
燕化星城健德二里,房山,3,2,1,94.3㎡,低层(共7层),1997年建造,南北,距燕房线星城步行1km,245
燕化星城健德四里,房山,2,2,1,81.1㎡,低层(共7层),2000年建造,南北,距燕房线星城步行549m,210
中国铁建原香漫谷二区,房山,3,2,2,129㎡,低层(共18层),2015年建造,南北,距燕房线马各庄步行1.5km,258
永乐园社区,房山,2,1,1,85.1㎡,共5层,1998年建造,南北,距燕房线房山城关步行1.3km,170
中国铁建原香漫谷一区,房山,3,2,1,91.3㎡,中层(共12层),2015年建造,南北,距燕房线马各庄步行1.5km,213
燕化星城健德三里,房山,2,2,1,85.3㎡,高层(共6层),1997年建造,西南,距燕房线星城步行1.2km,198
天恒乐活城(南区),房山,3,2,1,88.2㎡,高层(共9层),2014年建造,南北,距燕房线阎村步行1km,269
天恒乐活城(北区),房山,2,2,1,89.1㎡,中层(共20层),2011年建造,东南,距燕房线阎村步行573m,245
天恒乐活城(北区),房山,2,2,1,89.9㎡,中层(共20层),2010年建造,南北,距燕房线阎村步行573m,249
中国铁建原香漫谷四区,房山,2,1,1,87㎡,低层(共20层),2015年建造,南,距燕房线马各庄步行1.7km,183
天恒乐墅,房山,4,4,3,200㎡,共4层,2017年建造,南北,距燕房线阎村步行1.9km,888
中冶蓝城(东区),房山,3,2,1,97.4㎡,高层(共16层),2014年建造,东南,距燕房线马各庄步行1.1km,228
燕化星城健德一里,房山,3,2,1,89.8㎡,高层(共6层),1998年建造,南北,距燕房线星城步行512m,230
中国铁建原香漫谷三区,房山,2,1,1,87.3㎡,高层(共20层),2015年建造,南,距燕房线马各庄步行1.6km,205
燕化星城健德三里,房山,2,2,1,84.5㎡,共5层,1998年建造,南北,距燕房线星城步行1.2km,205
天恒摩墅,房山,3,2,3,138.8㎡,中层(共8层),2017年建造,南北,距燕房线顾册步行893m,280
