name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
首开万科城市之光,通州,3,2,2,90.6㎡,低层(共15层),2018年建造,南北,距亦庄线亦庄火车站步行1.6km,375
泰禾1号公馆,通州,2,1,1,81㎡,低层(共9层),2016年建造,南,距亦庄线次渠步行2km,435
明月听蘭,通州,3,2,2,96㎡,中层(共15层),2020年建造,南北,距亦庄线次渠步行764m,480
一栋洋房,大兴,3,2,3,206㎡,共3层,2015年建造,南北,距亦庄线万源街步行1.2km,1260
一栋洋房,大兴,4,3,3,202㎡,共3层,2002年建造,南北,距亦庄线万源街步行1.2km,1260
首开万科城市之光,通州,3,2,1,91.1㎡,高层(共18层),2015年建造,南北,距亦庄线亦庄火车站步行1.6km,392
江南山水(别墅),朝阳,5,2,5,264.6㎡,共1层,2008年建造,南北,距亦庄线小红门步行1.9km,1445
贵园南里(丙区),大兴,1,1,1,59.9㎡,高层(共6层),2001年建造,南北,距亦庄线亦庄桥步行1.5km,310
清逸园(东区),大兴,3,1,1,86.1㎡,低层(共6层),1995年建造,南北,距亦庄线旧宫步行1.5km,347
万科城市之光盛达嘉园,通州,3,2,2,93.7㎡,低层(共21层),2016年建造,南北,距亦庄线亦庄火车站步行1.6km,510
宏大家园,朝阳,2,1,1,65㎡,低层(共11层),2014年建造,南北,距亦庄线肖村步行798m,255
首开万科城市之光,通州,3,2,1,89㎡,低层(共15层),2020年建造,南北,距亦庄线亦庄火车站步行1.6km,400
一栋洋房,大兴,4,2,1,261.1㎡,共3层,2006年建造,南北,距亦庄线万源街步行1.2km,1300
首开万科城市之光,通州,3,2,1,72㎡,低层(共18层),2019年建造,南北,距亦庄线亦庄火车站步行1.6km,353
莲水怡园,通州,2,1,1,100.2㎡,低层(共6层),2008年建造,南北,距亦庄线同济南路步行1.8km,315
鲁能钓鱼台美高梅别墅,丰台,5,3,6,333㎡,共3层,2019年建造,南北,距亦庄线宋家庄步行536m,4400
一栋洋房,大兴,4,2,3,261.1㎡,共3层,2006年建造,南北,距亦庄线万源街步行1.2km,1275
次渠嘉园一区,通州,1,1,1,44㎡,高层(共26层),2014年建造,南,距亦庄线次渠南步行642m,110
泰禾1号公馆,通州,4,2,2,130.5㎡,高层(共11层),2013年建造,南北,距亦庄线次渠步行2km,670
万科翡翠四季,通州,4,2,2,123㎡,低层(共15层),2019年建造,南北,距亦庄线亦庄火车站步行1.8km,716
嘉业大厦,丰台,3,2,2,193.1㎡,高层(共28层),2002年建造,南北,距亦庄线宋家庄步行1.4km,730
嘉业大厦,丰台,3,2,2,130.3㎡,高层(共21层),2006年建造,东北,距亦庄线宋家庄步行1.4km,480
嘉业大厦,丰台,3,2,1,130.3㎡,高层(共21层),2006年建造,南北,距亦庄线宋家庄步行1.4km,490
华馨园,通州,2,1,1,84㎡,共5层,2000年建造,南北,距亦庄线次渠步行712m,299
华馨园,通州,2,1,1,84㎡,共5层,2000年建造,南北,距亦庄线次渠步行712m,299
亦庄北岸,大兴,2,1,1,82.4㎡,低层(共15层),2008年建造,南,,345
富源里,大兴,1,1,1,47㎡,共5层,2001年建造,北,,258
富源里,大兴,1,1,1,47㎡,共5层,2002年建造,北,,258
鹤巢居,丰台,3,1,1,96.5㎡,低层(共10层),2011年建造,南北,,355
清逸园(东区),大兴,3,1,1,86.1㎡,低层(共6层),1995年建造,南北,距亦庄线旧宫步行1.5km,347
富源里,大兴,2,2,1,92㎡,共5层,2005年建造,南北,,495
大雄郁金香舍,大兴,2,2,1,92㎡,共5层,2003年建造,南北,,630
大雄郁金香舍,大兴,2,1,1,93.5㎡,共5层,,南北,,580
方庄南路18号院,丰台,2,1,1,80㎡,共1层,2013年建造,南北,,380
莲水怡园,通州,2,1,1,94.2㎡,低层(共12层),2005年建造,南北,距亦庄线同济南路步行1.8km,305
四方景园(四区),丰台,2,1,1,90.8㎡,低层(共15层),2006年建造,东南,,560
朗润园(二期),大兴,2,2,1,86.9㎡,低层(共15层),2015年建造,南,,495
政怡家园,丰台,2,1,1,91.9㎡,低层(共15层),2004年建造,西,,455
燕景佳园,大兴,2,1,1,91.1㎡,低层(共17层),1999年建造,东,距亦庄线亦庄桥步行824m,410
灵秀山庄,大兴,2,1,1,83㎡,低层(共15层),2005年建造,南北,,440
彩虹城(三区),丰台,2,1,1,86.8㎡,低层(共16层),2005年建造,南,,540
富源里,大兴,1,1,1,47㎡,共5层,2000年建造,北,,258
大雄郁金香舍,大兴,2,2,1,92㎡,共5层,2003年建造,南北,,630
大雄郁金香舍,大兴,2,1,1,93.5㎡,共5层,2005年建造,南北,,580
莲水怡园,通州,2,1,1,94.2㎡,低层(共12层),2003年建造,南北,距亦庄线同济南路步行1.8km,305
彩虹城(三区),丰台,2,1,1,86.8㎡,低层(共16层),2004年建造,南,,540
四方景园(四区),丰台,2,1,1,90.8㎡,低层(共15层),2007年建造,东南,,560
燕景佳园,大兴,2,1,1,91.1㎡,低层(共17层),2000年建造,东,距亦庄线亦庄桥步行824m,410
富源里,大兴,1,1,1,47㎡,共5层,1998年建造,北,,258
大雄郁金香舍,大兴,2,1,1,93.5㎡,共5层,,南北,,580
彩虹城(三区),丰台,2,1,1,86.8㎡,低层(共16层),2005年建造,南,,540
燕景佳园,大兴,2,1,1,91.1㎡,低层(共17层),1998年建造,东,距亦庄线亦庄桥步行824m,410
四方景园(四区),丰台,2,1,1,90.8㎡,低层(共15层),2007年建造,东南,,560
四方景园(四区),丰台,2,1,1,90.8㎡,低层(共15层),2006年建造,东南,,560
彩虹城(三区),丰台,2,1,1,86.8㎡,低层(共16层),2005年建造,南,,540
四方景园(四区),丰台,2,1,1,90.8㎡,低层(共15层),2006年建造,东南,,560
彩虹城(三区),丰台,2,1,1,86.8㎡,低层(共16层),2005年建造,南,,540
四方景园(四区),丰台,2,1,1,90.8㎡,低层(共15层),,东南,,560
四方景园(四区),丰台,2,1,1,90.8㎡,低层(共15层),2006年建造,东南,,560
四方景园(四区),丰台,2,1,1,90.8㎡,低层(共15层),,东南,,560
燕景佳园,大兴,2,1,1,91.1㎡,低层(共17层),,东,距亦庄线亦庄桥步行824m,410
彩虹城(三区),丰台,2,1,1,86.8㎡,低层(共16层),2004年建造,南,,540
首开万科城市之光,通州,3,2,1,89.7㎡,低层(共15层),2015年建造,南北,距亦庄线亦庄火车站步行1.6km,390
富源里,大兴,1,1,1,47㎡,低层(共6层),2001年建造,北,,258
石榴园北里小区,丰台,1,1,1,46.6㎡,低层(共9层),1998年建造,东西,,253
日新家园,丰台,2,1,1,90㎡,中层(共18层),2010年建造,南北,,290
宋家庄家园,丰台,1,1,1,47.7㎡,低层(共29层),2010年建造,东,,256
方泽园,丰台,1,1,1,41.1㎡,低层(共18层),2005年建造,东西,,258
顺四条37号院,丰台,1,1,1,48.9㎡,低层(共18层),1998年建造,东,,253
莲水怡园,通州,2,1,1,97.3㎡,中层(共10层),2004年建造,南北,距亦庄线同济南路步行1.8km,350
旧宫新苑(南区),大兴,2,1,1,87.1㎡,中层(共18层),2012年建造,南北,,355
顶秀欣园东苑,丰台,1,1,1,53㎡,低层(共21层),2016年建造,南,,250
清逸园(东区),大兴,3,1,1,86㎡,高层(共6层),1995年建造,南北,距亦庄线旧宫步行1.5km,340
贵园东里,大兴,2,2,1,89㎡,低层(共7层),2000年建造,南,,435
管委会宿舍,大兴,2,2,1,91㎡,低层(共6层),1995年建造,南北,,480
梅园(大兴),大兴,2,1,1,93.8㎡,低层(共6层),2000年建造,南北,,480
育龙家园,大兴,2,2,2,95㎡,低层(共6层),2004年建造,南北,,518
美然绿色家园,大兴,2,1,1,87.4㎡,低层(共9层),2008年建造,西南,,410
旭东嘉园上海沙龙,大兴,2,2,1,89㎡,低层(共9层),2008年建造,南北,,560
清逸园(东区),大兴,2,1,1,90.5㎡,低层(共6层),2001年建造,北,距亦庄线旧宫步行1.5km,330
莲水怡园,通州,2,2,1,92.8㎡,低层(共10层),2004年建造,东西,距亦庄线同济南路步行1.8km,301
泰禾1号公馆,通州,2,1,1,81㎡,低层(共9层),2016年建造,南,距亦庄线次渠步行2km,435
宋庄路甲12号院,丰台,2,1,1,80.2㎡,低层(共6层),1992年建造,东西,,400
泰禾1号公馆,通州,2,1,1,80.9㎡,低层(共9层),2017年建造,南北,距亦庄线次渠步行2km,435
泰禾1号公馆,通州,2,1,1,80.9㎡,低层(共9层),2017年建造,南北,距亦庄线次渠步行2km,498
方南家园,丰台,2,1,1,88.6㎡,低层(共6层),1998年建造,南北,,495
宣颐家园,大兴,2,1,1,93㎡,低层(共6层),2004年建造,南北,,452
国锐金嵿,大兴,2,2,2,98㎡,低层(共6层),2014年建造,东南,,515
美然绿色家园,大兴,2,1,1,96.7㎡,低层(共9层),2008年建造,南北,,455
瀛景园,大兴,2,2,1,93.7㎡,低层(共7层),2003年建造,南北,,510
首开万科城市之光,通州,3,2,1,89.7㎡,低层(共15层),2015年建造,南北,距亦庄线亦庄火车站步行1.6km,390
富源里,大兴,1,1,1,47㎡,低层(共6层),2001年建造,北,,258
石榴园北里小区,丰台,1,1,1,46.6㎡,低层(共9层),1998年建造,东西,,253
宋家庄家园,丰台,1,1,1,47.7㎡,低层(共29层),2010年建造,东,,256
鸿博家园六区,朝阳,2,1,1,89.5㎡,低层(共6层),2008年建造,南北,距亦庄线小红门步行1.7km,430
旭东嘉园上海沙龙,大兴,2,2,1,89㎡,低层(共9层),,南北,,560
泰禾1号公馆,通州,2,1,1,81㎡,低层(共9层),2016年建造,南,距亦庄线次渠步行2km,435
梅园(大兴),大兴,2,1,1,93.8㎡,低层(共6层),2004年建造,南北,,480
首开万科城市之光,通州,3,2,1,89.7㎡,低层(共15层),2015年建造,南北,距亦庄线亦庄火车站步行1.6km,390
富源里,大兴,1,1,1,47㎡,低层(共6层),2001年建造,北,,258
梅园(大兴),大兴,2,1,1,93.8㎡,低层(共6层),2000年建造,南北,,480
旭东嘉园上海沙龙,大兴,2,2,1,89㎡,低层(共9层),2004年建造,南北,,560
首开万科城市之光,通州,3,2,1,90㎡,低层(共15层),2021年建造,南北,距亦庄线亦庄火车站步行1.6km,430
富源里,大兴,1,1,1,47㎡,低层(共6层),2001年建造,北,,258
梅园(大兴),大兴,2,1,1,93.8㎡,低层(共6层),2001年建造,南北,,480
旭东嘉园上海沙龙,大兴,2,2,1,89㎡,低层(共9层),2004年建造,南北,,560
首开万科城市之光,通州,3,2,1,89.7㎡,低层(共15层),2015年建造,南北,距亦庄线亦庄火车站步行1.6km,390
梅园(大兴),大兴,2,1,1,93.8㎡,低层(共6层),1998年建造,南北,,480
旭东嘉园上海沙龙,大兴,2,2,1,89㎡,低层(共9层),2004年建造,南北,,560
首开万科城市之光,通州,3,2,1,89.7㎡,低层(共15层),2015年建造,南北,距亦庄线亦庄火车站步行1.6km,390
旭东嘉园上海沙龙,大兴,2,2,1,89㎡,低层(共9层),,南北,,560
首开万科城市之光,通州,3,2,1,89.7㎡,低层(共15层),2015年建造,南北,距亦庄线亦庄火车站步行1.6km,390
旭东嘉园上海沙龙,大兴,2,2,1,89㎡,低层(共9层),,南北,,560
